Category,Question,Question Type,Answer,Difficulty
U.S. States,This state's capital is known as the sailing capital of the world.,What is,maryland,1
U.S. States,This state is known as the golden state.,What is,california,2
U.S. States,This state is home to the oldest continuously held horse race in the country.,What is,kentucky,3
U.S. States,"At 11,239 feet, Mount Hood stands as the tallest peak of this state.",What is,oregon,4
U.S. States,This state's name is the only one to start with two vowels,What is,iowa,5
Math & Science,This type of triangle has three equal length sides.,What is,equilateral,1
Math & Science,This degree in Fahrenheit is the temperature in which water freezes.,What is,32,2
Math & Science,This math type of math expression will always contain an equals sign.,What is an,equation,3
Math & Science,This is the third planet closest to the sun in our galaxy.,What is,Earth,4
Math & Science,This type of mathematical operation will result in a quotient,What is,division,5
U.S. Geography,"This city is known as the city of ""Brotherly Love"".",What is,Philidelphia,1
U.S. Geography,This valley is known to be lowest point in the United States.,What is,Death Valley,2
U.S. Geography,"This lake is the largest Great Lake, and the largest lake in North America.",What is,Lake Superior,3
U.S. Geography,This state is known for the fuzzy fruit they farm.,What is,Georgia,4
U.S. Geography,Mount Rushmore is located in which state,What is,South Dakota,5
World History,This famous British ship sunk in 1912 after it hit an iceburg.,What is the,Titanic,1
World History,"This ancient leader founded the city Alexandria, Eygypt.",Who is,Alexander the Great,2
World History,This year was the year Archduke Franz Ferdinand was assasinated and the beginning of World War I,What is,1914,3
World History,This country was formerly known as the U.S.S.R.,What is,Russia,4
World History,The One-Hundred Years War was fought between England and this country.,What is,France,5
Disney Characters,This character was Buzz Light Year's best friend in the Toy Story movies.,Who is,Woody,1
Disney Characters,"Based off a real historic character, this disney princess helped save John Smith",Who is,Pocohontas,2
Disney Characters,This mouse is often regarded as the beginning of the Disney franchise,Who is,Mickey Mouse,3
Disney Characters,Snow White bit into this poisoned fruit before she fell asleep.,What is an,apple,4
Disney Characters,This yellow and blue fish was Ariel's best friend in The Little Mermaid,Who is,Flounder,5
Months of the Year,Martin Luther King jr Day is celebrated in this month.,What is,February,1
Months of the Year,This month is when Summer offically ends,What is,September,2
Months of the Year,"The Jewish celebrated holiday, Passover occurs in this month",What is,April,3
Months of the Year,The U.S.A's Independence Day is celebrated in this month,What is,July,4
Months of the Year,The Presidential Inaguration occurs every four years in this month,What is,January,5
Animals,Panda's diets almost exclusively consist of this plant,What is,bamboo,1
Animals,This animal is known for being the fastest mammal on earth.,What is a,cheetah,2
Animals,A group of lions is known as this,What is,pride,3
Animals,This type of animal eats both plants and meat.,What is,Omnivore,4
Animals,Animals with pouches to carry their young are known as this.,What are,marsupials,5
